Tempo (s),Y,Set Point
196.58618426322937,48.83,38
196.6872682571411,48.83,38
196.7879502773285,48.83,38
196.8885486125946,48.83,38
196.98982954025269,48.83,38
197.09133648872375,48.34,38
197.1923553943634,48.83,38
197.29327011108398,48.83,38
197.39385509490967,48.34,38
197.4950783252716,48.83,38
197.59612345695496,48.83,38
197.69671249389648,48.83,38
197.7982246875763,48.34,38
197.89892840385437,47.85,38
197.9994843006134,48.34,38
198.10021924972534,48.34,38
198.2009494304657,48.34,38
198.30209851264954,48.34,38
198.40330481529236,48.34,38
198.5037055015564,48.34,38
198.6042342185974,48.34,38
198.7055811882019,48.34,38
198.80664658546448,48.34,38
198.9079213142395,47.85,38
199.00918769836426,48.34,38
199.1097629070282,48.34,38
199.21016478538513,47.85,38
199.31081295013428,47.85,38
199.41200804710388,48.34,38
199.5133855342865,48.34,38
199.61401295661926,47.85,38
199.71503067016602,47.85,38
199.81612467765808,47.85,38
199.91745853424072,47.85,38
200.0185251235962,47.85,38
200.11904573440552,47.85,38
200.22028493881226,47.85,38
200.32170844078064,47.85,38
200.4219036102295,47.85,38
200.52294921875,47.85,38
200.6236388683319,47.85,38
200.7242407798767,47.85,38
200.82536029815674,47.85,38
200.92639350891113,47.85,38
201.0274622440338,47.85,38
201.12792897224426,47.85,38
201.22853827476501,47.85,38
201.32919192314148,47.85,38
201.43043875694275,47.85,38
201.53099536895752,47.85,38
201.63152074813843,47.85,38
201.73214769363403,47.36,38
201.8329141139984,47.85,38
201.93411707878113,47.85,38
202.03523969650269,47.85,38
202.13678431510925,47.85,38
202.2377109527588,47.36,38
202.33874702453613,47.36,38
202.44029808044434,47.36,38
202.54135179519653,47.36,38
202.64202785491943,47.36,38
202.7434003353119,47.85,38
202.84451961517334,47.36,38
202.94532990455627,47.36,38
203.04677653312683,47.85,38
203.14779829978943,47.36,38
203.24896335601807,47.36,38
203.35022020339966,47.36,38
203.45079803466797,47.36,38
203.55198621749878,47.36,38
203.65273022651672,47.36,38
203.75380611419678,47.36,38
203.85464453697205,47.36,38
203.95575046539307,47.36,38
204.05734014511108,47.36,38
204.1581916809082,47.36,38
204.25935339927673,47.36,38
204.36060523986816,46.88,38
204.46181511878967,47.36,38
204.56277871131897,46.88,38
204.66411519050598,46.39,38
204.76486229896545,46.88,38
204.86623191833496,46.88,38
204.96709036827087,46.88,38
205.06811094284058,46.88,38
205.16894483566284,46.88,38
205.2693305015564,47.36,38
205.37022590637207,46.88,38
205.47126030921936,47.85,38
205.5726237297058,46.88,38
205.67378449440002,46.88,38
205.77467513084412,46.88,38
205.8753912448883,46.88,38
205.97658896446228,46.88,38
206.07774329185486,46.39,38
206.17889094352722,46.88,38
206.27957487106323,46.88,38
206.38093090057373,46.39,38
206.4818868637085,46.88,38
206.58308172225952,46.39,38
206.68443655967712,46.39,38
206.78558349609375,46.88,38
206.8863775730133,46.88,38
206.98736906051636,46.39,38
207.08894228935242,46.39,38
207.18937945365906,46.39,38
207.2903652191162,46.39,38
207.39130187034607,46.39,38
207.49255895614624,46.39,38
207.59326338768005,46.39,38
207.69420337677002,46.39,38
207.79525208473206,46.39,38
207.89655327796936,46.39,38
207.99795269966125,46.39,38
208.0988917350769,46.39,38
208.19942164421082,46.39,38
208.3008930683136,46.88,38
208.40179824829102,46.39,38
208.50290489196777,45.9,38
208.60309600830078,45.9,38
208.70403265953064,46.39,38
208.80514907836914,45.9,38
208.90632939338684,45.9,38
209.0068633556366,46.39,38
209.10799980163574,45.9,38
209.20853734016418,46.39,38
209.30960631370544,45.9,38
